rank,accuracy,error,rep,fold,top_m,condition,K,reconstruction
0.6293444444444447,0.006666666666666667,0.38944444444444465,0,0,1,intact,5,top_m_across_condition_ranked
0.6392888888888894,0.01,0.3826777777777776,0,1,1,intact,5,top_m_across_condition_ranked
0.6384888888888889,0.01,0.40978888888888865,1,0,1,intact,5,top_m_across_condition_ranked
0.6283888888888894,0.01,0.4173111111111111,1,1,1,intact,5,top_m_across_condition_ranked
0.5904666666666665,0.01,0.39292222222222173,2,0,1,intact,5,top_m_across_condition_ranked
0.5983555555555553,0.0033333333333333335,0.41287777777777795,2,1,1,intact,5,top_m_across_condition_ranked
0.6268333333333336,0.006666666666666667,0.397244444444444,3,0,1,intact,5,top_m_across_condition_ranked
0.6133111111111106,0.006666666666666667,0.4000666666666664,3,1,1,intact,5,top_m_across_condition_ranked
0.6418333333333333,0.0033333333333333335,0.4268000000000002,4,0,1,intact,5,top_m_across_condition_ranked
0.6463222222222226,0.006666666666666667,0.4210555555555556,4,1,1,intact,5,top_m_across_condition_ranked
0.5990111111111104,0.0033333333333333335,0.38839999999999986,5,0,1,intact,5,top_m_across_condition_ranked
0.6031666666666666,0.0033333333333333335,0.3837444444444442,5,1,1,intact,5,top_m_across_condition_ranked
0.6147444444444445,0.006666666666666667,0.4215444444444443,6,0,1,intact,5,top_m_across_condition_ranked
0.6026666666666665,0.01,0.394211111111111,6,1,1,intact,5,top_m_across_condition_ranked
0.6338444444444449,0.006666666666666667,0.4211444444444444,7,0,1,intact,5,top_m_across_condition_ranked
0.640311111111111,0.006666666666666667,0.38858888888888893,7,1,1,intact,5,top_m_across_condition_ranked
0.654044444444445,0.01,0.4151888888888888,8,0,1,intact,5,top_m_across_condition_ranked
0.6379777777777781,0.006666666666666667,0.3837666666666667,8,1,1,intact,5,top_m_across_condition_ranked
0.6432555555555559,0.01,0.3909777777777777,9,0,1,intact,5,top_m_across_condition_ranked
0.6526444444444444,0.01,0.43534444444444403,9,1,1,intact,5,top_m_across_condition_ranked
0.6188222222222223,0.0033333333333333335,0.4028444444444444,10,0,1,intact,5,top_m_across_condition_ranked
0.6006666666666672,0.006666666666666667,0.4157555555555553,10,1,1,intact,5,top_m_across_condition_ranked
0.6028999999999999,0.006666666666666667,0.40395555555555535,11,0,1,intact,5,top_m_across_condition_ranked
0.5989444444444441,0.0033333333333333335,0.4344333333333333,11,1,1,intact,5,top_m_across_condition_ranked
0.6159666666666669,0.006666666666666667,0.41187777777777773,12,0,1,intact,5,top_m_across_condition_ranked
0.6116333333333331,0.0033333333333333335,0.3747555555555554,12,1,1,intact,5,top_m_across_condition_ranked
0.6281777777777777,0.013333333333333334,0.40976666666666667,13,0,1,intact,5,top_m_across_condition_ranked
0.6292666666666666,0.01,0.3711222222222219,13,1,1,intact,5,top_m_across_condition_ranked
0.6321888888888892,0.0033333333333333335,0.39504444444444425,14,0,1,intact,5,top_m_across_condition_ranked
0.6336222222222222,0.01,0.4145888888888887,14,1,1,intact,5,top_m_across_condition_ranked
0.6243000000000002,0.0033333333333333335,0.42912222222222207,15,0,1,intact,5,top_m_across_condition_ranked
0.6167555555555554,0.01,0.39679999999999976,15,1,1,intact,5,top_m_across_condition_ranked
0.6103222222222224,0.006666666666666667,0.3774888888888889,16,0,1,intact,5,top_m_across_condition_ranked
0.6106888888888891,0.0033333333333333335,0.39585555555555546,16,1,1,intact,5,top_m_across_condition_ranked
0.5826333333333334,0.006666666666666667,0.42864444444444433,17,0,1,intact,5,top_m_across_condition_ranked
0.5730333333333334,0.01,0.40727777777777774,17,1,1,intact,5,top_m_across_condition_ranked
0.6329111111111111,0.01,0.4178888888888887,18,0,1,intact,5,top_m_across_condition_ranked
0.6261777777777776,0.006666666666666667,0.40944444444444417,18,1,1,intact,5,top_m_across_condition_ranked
0.6124444444444446,0.0033333333333333335,0.4122222222222222,19,0,1,intact,5,top_m_across_condition_ranked
0.6147555555555558,0.006666666666666667,0.4024555555555552,19,1,1,intact,5,top_m_across_condition_ranked
0.709855555555556,0.02,0.3170444444444443,0,0,2,intact,5,top_m_across_condition_ranked
0.7125444444444445,0.016666666666666666,0.33439999999999986,0,1,2,intact,5,top_m_across_condition_ranked
0.7473777777777779,0.023333333333333334,0.29856666666666676,1,0,2,intact,5,top_m_across_condition_ranked
0.7511000000000002,0.02,0.33069999999999994,1,1,2,intact,5,top_m_across_condition_ranked
0.7072000000000004,0.013333333333333334,0.32258888888888876,2,0,2,intact,5,top_m_across_condition_ranked
0.7008777777777776,0.02,0.3276555555555557,2,1,2,intact,5,top_m_across_condition_ranked
0.7487333333333339,0.02666666666666667,0.3283555555555555,3,0,2,intact,5,top_m_across_condition_ranked
0.7500444444444448,0.013333333333333334,0.3116999999999998,3,1,2,intact,5,top_m_across_condition_ranked
0.7322222222222224,0.02,0.31721111111111094,4,0,2,intact,5,top_m_across_condition_ranked
0.7430444444444448,0.02,0.3460444444444443,4,1,2,intact,5,top_m_across_condition_ranked
0.7077999999999999,0.016666666666666666,0.33849999999999997,5,0,2,intact,5,top_m_across_condition_ranked
0.703322222222222,0.023333333333333334,0.33917777777777786,5,1,2,intact,5,top_m_across_condition_ranked
0.7189444444444445,0.02,0.3073888888888888,6,0,2,intact,5,top_m_across_condition_ranked
0.7218,0.013333333333333334,0.34090000000000004,6,1,2,intact,5,top_m_across_condition_ranked
0.7441111111111112,0.023333333333333334,0.3405444444444443,7,0,2,intact,5,top_m_across_condition_ranked
0.7396333333333336,0.03333333333333333,0.3273555555555553,7,1,2,intact,5,top_m_across_condition_ranked
0.7539666666666672,0.016666666666666666,0.321722222222222,8,0,2,intact,5,top_m_across_condition_ranked
0.7433000000000003,0.02,0.30784444444444425,8,1,2,intact,5,top_m_across_condition_ranked
0.7435444444444446,0.006666666666666667,0.30894444444444435,9,0,2,intact,5,top_m_across_condition_ranked
0.7441,0.006666666666666667,0.3424666666666666,9,1,2,intact,5,top_m_across_condition_ranked
0.7262111111111115,0.016666666666666666,0.29254444444444405,10,0,2,intact,5,top_m_across_condition_ranked
0.7263333333333335,0.013333333333333334,0.3384777777777779,10,1,2,intact,5,top_m_across_condition_ranked
0.730833333333333,0.013333333333333334,0.2862555555555556,11,0,2,intact,5,top_m_across_condition_ranked
0.7265333333333337,0.01,0.3410333333333332,11,1,2,intact,5,top_m_across_condition_ranked
0.7301222222222226,0.02,0.3408777777777779,12,0,2,intact,5,top_m_across_condition_ranked
0.7354111111111113,0.016666666666666666,0.35281111111111085,12,1,2,intact,5,top_m_across_condition_ranked
0.7481444444444443,0.02,0.34835555555555564,13,0,2,intact,5,top_m_across_condition_ranked
0.7446111111111116,0.016666666666666666,0.29785555555555543,13,1,2,intact,5,top_m_across_condition_ranked
0.7378777777777781,0.016666666666666666,0.30764444444444444,14,0,2,intact,5,top_m_across_condition_ranked
0.7270222222222229,0.02666666666666667,0.3296666666666666,14,1,2,intact,5,top_m_across_condition_ranked
0.7180666666666669,0.02,0.3331777777777778,15,0,2,intact,5,top_m_across_condition_ranked
0.7221888888888889,0.01,0.3284555555555556,15,1,2,intact,5,top_m_across_condition_ranked
0.7284444444444449,0.013333333333333334,0.326911111111111,16,0,2,intact,5,top_m_across_condition_ranked
0.7270000000000003,0.013333333333333334,0.3180444444444443,16,1,2,intact,5,top_m_across_condition_ranked
0.6961000000000003,0.02,0.31117777777777766,17,0,2,intact,5,top_m_across_condition_ranked
0.6923555555555563,0.013333333333333334,0.3653666666666668,17,1,2,intact,5,top_m_across_condition_ranked
0.7165888888888893,0.01,0.350988888888889,18,0,2,intact,5,top_m_across_condition_ranked
0.7157111111111107,0.016666666666666666,0.35904444444444433,18,1,2,intact,5,top_m_across_condition_ranked
0.704222222222223,0.023333333333333334,0.3035777777777775,19,0,2,intact,5,top_m_across_condition_ranked
0.6974444444444449,0.013333333333333334,0.31563333333333327,19,1,2,intact,5,top_m_across_condition_ranked
0.7839444444444448,0.013333333333333334,0.3464777777777777,0,0,3,intact,5,top_m_across_condition_ranked
0.786755555555556,0.016666666666666666,0.30118888888888856,0,1,3,intact,5,top_m_across_condition_ranked
0.7890666666666668,0.03666666666666667,0.3162,1,0,3,intact,5,top_m_across_condition_ranked
0.7910666666666665,0.03333333333333333,0.3355333333333332,1,1,3,intact,5,top_m_across_condition_ranked
0.7908222222222233,0.02666666666666667,0.2855333333333332,2,0,3,intact,5,top_m_across_condition_ranked
0.7910777777777781,0.023333333333333334,0.3316555555555555,2,1,3,intact,5,top_m_across_condition_ranked
0.8170666666666673,0.03333333333333333,0.3033333333333332,3,0,3,intact,5,top_m_across_condition_ranked
0.808644444444445,0.04,0.29930000000000023,3,1,3,intact,5,top_m_across_condition_ranked
0.8115666666666665,0.04,0.2780333333333331,4,0,3,intact,5,top_m_across_condition_ranked
0.8110777777777779,0.02666666666666667,0.3187111111111111,4,1,3,intact,5,top_m_across_condition_ranked
0.7665444444444447,0.03,0.2779666666666664,5,0,3,intact,5,top_m_across_condition_ranked
0.762677777777778,0.03333333333333333,0.33909999999999996,5,1,3,intact,5,top_m_across_condition_ranked
0.7725000000000012,0.02,0.32879999999999976,6,0,3,intact,5,top_m_across_condition_ranked
0.77788888888889,0.02,0.3147111111111111,6,1,3,intact,5,top_m_across_condition_ranked
0.7960222222222222,0.023333333333333334,0.31301111111111124,7,0,3,intact,5,top_m_across_condition_ranked
0.796577777777778,0.023333333333333334,0.2910444444444443,7,1,3,intact,5,top_m_across_condition_ranked
0.8054666666666668,0.03333333333333333,0.2995666666666664,8,0,3,intact,5,top_m_across_condition_ranked
0.8010111111111116,0.03,0.31507777777777773,8,1,3,intact,5,top_m_across_condition_ranked
0.7838777777777776,0.023333333333333334,0.31143333333333295,9,0,3,intact,5,top_m_across_condition_ranked
0.782677777777778,0.03333333333333333,0.29524444444444425,9,1,3,intact,5,top_m_across_condition_ranked
0.7871888888888895,0.02666666666666667,0.30871111111111116,10,0,3,intact,5,top_m_across_condition_ranked
0.7890666666666669,0.016666666666666666,0.2931555555555555,10,1,3,intact,5,top_m_across_condition_ranked
0.7993999999999998,0.03333333333333333,0.3093999999999996,11,0,3,intact,5,top_m_across_condition_ranked
0.793733333333334,0.03666666666666667,0.33948888888888895,11,1,3,intact,5,top_m_across_condition_ranked
0.7932666666666667,0.02666666666666667,0.3068777777777774,12,0,3,intact,5,top_m_across_condition_ranked
0.7975000000000005,0.03333333333333333,0.31211111111111106,12,1,3,intact,5,top_m_across_condition_ranked
0.7967111111111109,0.02666666666666667,0.31057777777777723,13,0,3,intact,5,top_m_across_condition_ranked
0.7846888888888892,0.013333333333333334,0.3024999999999999,13,1,3,intact,5,top_m_across_condition_ranked
0.7923333333333336,0.016666666666666666,0.30243333333333317,14,0,3,intact,5,top_m_across_condition_ranked
0.7942111111111108,0.02666666666666667,0.29689999999999994,14,1,3,intact,5,top_m_across_condition_ranked
0.7793333333333339,0.03666666666666667,0.3306999999999999,15,0,3,intact,5,top_m_across_condition_ranked
0.7741222222222229,0.03,0.3060000000000001,15,1,3,intact,5,top_m_across_condition_ranked
0.7814333333333336,0.043333333333333335,0.2787,16,0,3,intact,5,top_m_across_condition_ranked
