analysis_type,fit_scope,condition,K,archetype,mean_accuracy,sem_accuracy,std_accuracy,count,rank_mean,error_mean
spatial,within,intact,5,0,0.007916666666666666,0.0005558225853982063,0.0035153306896435585,40,0.6989761111111111,0.36797583333333334
spatial,within,intact,5,1,0.007916666666666666,0.0005428570089754134,0.003433329184297551,40,0.6655883333333333,0.33574777777777765
spatial,within,intact,5,2,0.007166666666666667,0.000514047677015483,0.0032511229705750244,40,0.6170263888888889,0.4104672222222221
spatial,within,intact,5,3,0.007333333333333333,0.0005495400822454191,0.0034755966509035655,40,0.6109541666666667,0.37787555555555546
spatial,within,intact,5,4,0.007083333333333333,0.0005989960736902173,0.003788383804718293,40,0.5950216666666667,0.35078972222222216
spatial,within,intact,10,0,0.007416666666666667,0.0005784287095915728,0.0036583043726829078,40,0.7115191666666667,0.38719638888888885
spatial,within,intact,10,1,0.008666666666666666,0.00047441672090180913,0.003000474796236256,40,0.6737183333333335,0.29143222222222215
spatial,within,intact,10,2,0.00825,0.0006425942346670646,0.004064122785681311,40,0.6896969444444446,0.33983249999999987
spatial,within,intact,10,3,0.005833333333333334,0.0006399563731569205,0.004047439484633018,40,0.61114,0.41110138888888875
spatial,within,intact,10,4,0.0075,0.0005566229063100617,0.0035203923635246104,40,0.6196600000000001,0.3748002777777777
spatial,within,intact,10,5,0.007416666666666666,0.0006481125346341155,0.004099023579097137,40,0.6282775,0.39329583333333323
spatial,within,intact,10,6,0.008083333333333335,0.0005047847980156418,0.0031925393799149436,40,0.5987061111111112,0.35952999999999996
spatial,within,intact,10,7,0.007333333333333333,0.0007753319296531009,0.004903629680714485,40,0.6066547222222224,0.3438547222222222
spatial,within,intact,10,8,0.007916666666666666,0.0007327066086497201,0.004634043479981491,40,0.5478741666666667,0.3254880555555556
spatial,within,intact,10,9,0.004666666666666667,0.0004591581544807963,0.0029039711487975277,40,0.5605944444444445,0.3592144444444444
spatial,within,intact,25,0,0.006583333333333334,0.0007109992566943675,0.004496754131681843,40,0.5859730555555556,0.32959444444444436
spatial,within,intact,25,1,0.00825,0.0005722388181146617,0.003619156061610303,40,0.7080927777777779,0.3941333333333333
spatial,within,intact,25,2,0.009833333333333335,0.0006309898162000304,0.003990729999126216,40,0.6962983333333334,0.3192883333333333
spatial,within,intact,25,3,0.008416666666666666,0.0005467789649092551,0.0034581338115650556,40,0.6860975,0.3286619444444444
spatial,within,intact,25,4,0.007583333333333333,0.0004919219241781967,0.0031111874227515096,40,0.6726869444444445,0.3231491666666667
spatial,within,intact,25,5,0.007000000000000001,0.0004744167209018092,0.0030004747962362566,40,0.6103977777777779,0.40545583333333324
spatial,within,intact,25,6,0.005833333333333334,0.0005304140187994953,0.0033546328045795494,40,0.6254391666666667,0.3652808333333333
spatial,within,intact,25,7,0.007916666666666666,0.0005159493228057419,0.0032631500345752028,40,0.6103844444444444,0.38250416666666653
spatial,within,intact,25,8,0.0069166666666666664,0.0005117911677922933,0.003236851553162112,40,0.6163938888888889,0.40233833333333335
spatial,within,intact,25,9,0.007083333333333333,0.00048019909213905024,0.003037045723008912,40,0.6067727777777778,0.33938499999999994
spatial,within,intact,25,10,0.005166666666666667,0.0004913786640188923,0.003107751543820654,40,0.5565027777777778,0.3558344444444444
spatial,within,intact,25,11,0.00575,0.0006314129680188206,0.003993406246213056,40,0.5604394444444445,0.32134944444444447
spatial,within,intact,25,12,0.004083333333333333,0.0006025527367540542,0.003810878117021328,40,0.5700899999999999,0.3070083333333333
spatial,within,intact,25,13,0.006750000000000001,0.0006590105247982553,0.0041679485207707255,40,0.5526950000000002,0.3269936111111111
spatial,within,intact,25,14,0.008333333333333335,0.0008182393717706753,0.005175000172041232,40,0.5869255555555556,0.3314263888888889
spatial,within,intact,25,15,0.007583333333333333,0.0007059726877843333,0.004464963318538847,40,0.5379422222222223,0.3328727777777777
spatial,within,intact,25,16,0.005,0.0006201736729460423,0.003922322702763681,40,0.5683030555555556,0.3269574999999999
spatial,within,intact,25,17,0.0041666666666666675,0.0006287281966789348,0.003976426261351493,40,0.549628611111111,0.3279455555555555
spatial,within,intact,25,18,0.0055,0.0006264584123867621,0.003962070885030416,40,0.5453730555555556,0.3166427777777778
spatial,within,intact,25,19,0.004666666666666667,0.0005443310539518173,0.0034426518632954817,40,0.5180727777777777,0.3479563888888888
spatial,within,intact,25,20,0.004083333333333333,0.0006590105247982552,0.004167948520770725,40,0.5422736111111112,0.3343711111111111
spatial,within,intact,25,21,0.005333333333333334,0.0005822639771026016,0.0036825607342247,40,0.5616569444444444,0.33703583333333337
spatial,within,intact,25,22,0.005333333333333334,0.0006178724639975321,0.0039077685794651745,40,0.4927894444444444,0.35201138888888883
spatial,within,intact,25,23,0.004,0.0006338054920158089,0.0040085378965872415,40,0.49336888888888886,0.33880527777777775
spatial,within,intact,25,24,0.004333333333333333,0.0006877023141843227,0.004349411329982359,40,0.5195355555555555,0.32769138888888877
spatial,within,intact,50,0,0.005333333333333333,0.0005310850045437943,0.003358876491038526,40,0.5591488888888889,0.3345105555555555
spatial,within,intact,50,1,0.007750000000000002,0.0004831564663131095,0.0030557497995756847,40,0.7036000000000001,0.3886372222222222
spatial,within,intact,50,2,0.009333333333333334,0.0006109168300344762,0.0038637772876778144,40,0.6926302777777777,0.31603972222222215
spatial,within,intact,50,3,0.008583333333333335,0.0005833333333333333,0.003689323936863109,40,0.6768888888888889,0.32036499999999996
spatial,within,intact,50,4,0.007083333333333333,0.00044955660333392903,0.002843245607408123,40,0.5963244444444447,0.4081372222222221
spatial,within,intact,50,5,0.0075,0.00040911968588533767,0.002587500086020616,40,0.6095005555555556,0.37974444444444433
spatial,within,intact,50,6,0.006333333333333334,0.0006730463973541891,0.004256719173219925,40,0.6254891666666668,0.3612686111111111
spatial,within,intact,50,7,0.007833333333333335,0.0006596856715021065,0.004172218523448575,40,0.6117741666666667,0.38357777777777774
spatial,within,intact,50,8,0.008083333333333335,0.0005583795745617396,0.003531502509061826,40,0.6277188888888889,0.3767122222222222
spatial,within,intact,50,9,0.007250000000000001,0.000652493573338361,0.004126731700742675,40,0.6189105555555555,0.39506055555555547
spatial,within,intact,50,10,0.008333333333333333,0.0008094878969266033,0.005119650985255363,40,0.6310133333333334,0.31094222222222223
