condition,K,top_m,selected_archetypes,selected_archetypes_str
intact,5,1,[0],[0]
intact,5,2,"[0, 1]","[0, 1]"
intact,5,3,"[0, 1, 3]","[0, 1, 3]"
intact,5,4,"[0, 1, 3, 2]","[0, 1, 3, 2]"
intact,5,5,"[0, 1, 3, 2, 4]","[0, 1, 3, 2, 4]"
intact,10,1,[1],[1]
intact,10,2,"[1, 2]","[1, 2]"
intact,10,3,"[1, 2, 6]","[1, 2, 6]"
intact,10,4,"[1, 2, 6, 8]","[1, 2, 6, 8]"
intact,10,5,"[1, 2, 6, 8, 4]","[1, 2, 6, 8, 4]"
word,5,1,[1],[1]
word,5,2,"[1, 3]","[1, 3]"
word,5,3,"[1, 3, 2]","[1, 3, 2]"
word,5,4,"[1, 3, 2, 0]","[1, 3, 2, 0]"
word,5,5,"[1, 3, 2, 0, 4]","[1, 3, 2, 0, 4]"
word,10,1,[4],[4]
word,10,2,"[4, 0]","[4, 0]"
word,10,3,"[4, 0, 1]","[4, 0, 1]"
word,10,4,"[4, 0, 1, 7]","[4, 0, 1, 7]"
word,10,5,"[4, 0, 1, 7, 6]","[4, 0, 1, 7, 6]"
rest,5,1,[2],[2]
rest,5,2,"[2, 1]","[2, 1]"
rest,5,3,"[2, 1, 0]","[2, 1, 0]"
rest,5,4,"[2, 1, 0, 4]","[2, 1, 0, 4]"
rest,5,5,"[2, 1, 0, 4, 3]","[2, 1, 0, 4, 3]"
rest,10,1,[2],[2]
rest,10,2,"[2, 4]","[2, 4]"
rest,10,3,"[2, 4, 5]","[2, 4, 5]"
rest,10,4,"[2, 4, 5, 1]","[2, 4, 5, 1]"
rest,10,5,"[2, 4, 5, 1, 0]","[2, 4, 5, 1, 0]"
