analysis_type,fit_scope,condition,K,top_m,selected_archetypes,mean,err,std,count,rank_mean,error_mean
spatial,within,intact,5,1,[0],0.007916666666666666,0.0005558225853982063,0.0035153306896435585,40,0.6989761111111111,0.36797583333333334
spatial,within,intact,5,2,"[0, 1]",0.02225,0.000855579142754,0.005411157619273974,40,0.7533666666666669,0.3446030555555555
spatial,within,intact,5,3,"[0, 1, 3]",0.029833333333333333,0.0012343031529994054,0.007806418573210826,40,0.7726366666666669,0.31431138888888877
spatial,within,intact,5,5,"[0, 1, 3, 2, 4]",0.03866666666666667,0.0013333333333333333,0.008432740427115679,40,0.7964700000000003,0.2856319444444443
spatial,within,intact,5,10,"[0, 1, 3, 2, 4]",0.03866666666666667,0.0013333333333333333,0.008432740427115679,40,0.7964700000000003,0.2856319444444443
spatial,within,intact,10,1,[1],0.008666666666666666,0.00047441672090180913,0.003000474796236256,40,0.6737183333333335,0.29143222222222215
spatial,within,intact,10,2,"[1, 2]",0.027250000000000003,0.001137846093368401,0.007196370563537517,40,0.7824736111111112,0.31897833333333325
spatial,within,intact,10,3,"[1, 2, 6]",0.032,0.0014607885315483325,0.009238837879090928,40,0.7883911111111113,0.30267972222222206
spatial,within,intact,10,5,"[1, 2, 6, 8, 4]",0.03308333333333333,0.00130955017178482,0.0082823225062096,40,0.7907280555555558,0.28793055555555547
spatial,within,intact,10,10,"[1, 2, 6, 8, 4, 0, 5, 7, 3, 9]",0.06225000000000001,0.0020056455220486893,0.012684816057182635,40,0.8615658333333339,0.2521699999999997
spatial,within,intact,25,1,[2],0.009833333333333335,0.0006309898162000304,0.003990729999126216,40,0.6962983333333334,0.3192883333333333
spatial,within,intact,25,2,"[2, 3]",0.023666666666666666,0.001162078891653811,0.007349632236860156,40,0.7793372222222225,0.32471333333333313
spatial,within,intact,25,3,"[2, 3, 14]",0.030500000000000006,0.0013689162223933296,0.008657786377433032,40,0.7799236111111114,0.31418472222222216
spatial,within,intact,25,5,"[2, 3, 14, 1, 7]",0.05616666666666668,0.001669015438997655,0.010555780474436812,40,0.8382219444444449,0.2966224999999998
spatial,within,intact,25,10,"[2, 3, 14, 1, 7, 4, 15, 9, 5, 8]",0.07433333333333333,0.002469760129995441,0.015620134570118273,40,0.8673444444444449,0.251982222222222
spatial,within,intact,50,1,[2],0.009333333333333334,0.0006109168300344762,0.0038637772876778144,40,0.6926302777777777,0.31603972222222215
spatial,within,intact,50,2,"[2, 3]",0.0225,0.001085714017950827,0.006866658368595103,40,0.7708722222222224,0.3121499999999998
spatial,within,intact,50,3,"[2, 3, 10]",0.02708333333333333,0.0008866491547656962,0.0056076616290454745,40,0.7861775000000003,0.2977747222222221
spatial,within,intact,50,5,"[2, 3, 10, 8, 7]",0.03783333333333333,0.001304987146676722,0.00825346340148535,40,0.7975955555555557,0.29767027777777766
spatial,within,intact,50,10,"[2, 3, 10, 8, 7, 1, 5, 13, 9, 18]",0.0665,0.001996970640217762,0.012629951287145549,40,0.8660991666666671,0.2646566666666665
spatial,within,intact,75,1,[32],0.009666666666666667,0.000771648621745413,0.004880334396090479,40,0.5937794444444446,0.33902805555555543
spatial,within,intact,75,2,"[32, 6]",0.011083333333333334,0.0007297845367541505,0.0046155626746279595,40,0.6464244444444445,0.3775691666666666
spatial,within,intact,75,3,"[32, 6, 1]",0.020666666666666667,0.0013407911089057824,0.008479907541290289,40,0.7507077777777779,0.3747697222222221
spatial,within,intact,75,5,"[32, 6, 1, 9, 42]",0.029333333333333333,0.0012241631829848088,0.007742287771906955,40,0.7842238888888892,0.3409291666666665
