rank,accuracy,error,rep,fold,condition,K,reconstruction
0.8004333333333337,0.02666666666666667,0.3109333333333329,0,0,intact,5,all_archetypes
0.7994777777777778,0.023333333333333334,0.31466666666666643,0,1,intact,5,all_archetypes
0.821022222222222,0.043333333333333335,0.31720000000000015,1,0,intact,5,all_archetypes
0.8241666666666669,0.03666666666666667,0.32185555555555534,1,1,intact,5,all_archetypes
0.8137777777777785,0.03666666666666667,0.30927777777777754,2,0,intact,5,all_archetypes
0.8162777777777781,0.03333333333333333,0.33518888888888865,2,1,intact,5,all_archetypes
0.8155111111111116,0.03,0.3318555555555552,3,0,intact,5,all_archetypes
0.8249111111111112,0.02666666666666667,0.3004777777777775,3,1,intact,5,all_archetypes
0.7988333333333337,0.03,0.33093333333333325,4,0,intact,5,all_archetypes
0.8013444444444445,0.03333333333333333,0.3142333333333332,4,1,intact,5,all_archetypes
0.7926666666666671,0.023333333333333334,0.328888888888889,5,0,intact,5,all_archetypes
0.7938111111111112,0.04,0.36977777777777715,5,1,intact,5,all_archetypes
0.7792111111111115,0.016666666666666666,0.3276444444444439,6,0,intact,5,all_archetypes
0.7843111111111112,0.03,0.2964444444444442,6,1,intact,5,all_archetypes
0.8067555555555557,0.013333333333333334,0.3012444444444442,7,0,intact,5,all_archetypes
0.8061666666666666,0.02666666666666667,0.3181222222222219,7,1,intact,5,all_archetypes
0.8151000000000007,0.03,0.31163333333333304,8,0,intact,5,all_archetypes
0.8140000000000001,0.016666666666666666,0.3318777777777773,8,1,intact,5,all_archetypes
0.7994444444444446,0.023333333333333334,0.35207777777777766,9,0,intact,5,all_archetypes
0.7980222222222227,0.03333333333333333,0.3139333333333332,9,1,intact,5,all_archetypes
0.7948000000000005,0.02666666666666667,0.34444444444444416,10,0,intact,5,all_archetypes
0.787088888888889,0.02,0.3236888888888885,10,1,intact,5,all_archetypes
0.8099000000000003,0.03333333333333333,0.31189999999999946,11,0,intact,5,all_archetypes
0.7993888888888893,0.043333333333333335,0.3347222222222222,11,1,intact,5,all_archetypes
0.8156444444444448,0.03,0.3014555555555554,12,0,intact,5,all_archetypes
0.8115666666666673,0.043333333333333335,0.3079222222222221,12,1,intact,5,all_archetypes
0.7813888888888889,0.04,0.34755555555555534,13,0,intact,5,all_archetypes
0.7854888888888893,0.02666666666666667,0.3268333333333329,13,1,intact,5,all_archetypes
0.792711111111111,0.02,0.32632222222222207,14,0,intact,5,all_archetypes
0.7912444444444444,0.043333333333333335,0.29276666666666645,14,1,intact,5,all_archetypes
0.7764333333333339,0.043333333333333335,0.31158888888888875,15,0,intact,5,all_archetypes
0.7763333333333331,0.03,0.30779999999999974,15,1,intact,5,all_archetypes
0.7845222222222223,0.02,0.34016666666666656,16,0,intact,5,all_archetypes
0.7894000000000008,0.03666666666666667,0.3398777777777777,16,1,intact,5,all_archetypes
0.7734888888888894,0.03333333333333333,0.33047777777777765,17,0,intact,5,all_archetypes
0.7797888888888893,0.02666666666666667,0.32059999999999966,17,1,intact,5,all_archetypes
0.7855555555555558,0.02666666666666667,0.32642222222222195,18,0,intact,5,all_archetypes
0.7798444444444446,0.02666666666666667,0.3272888888888889,18,1,intact,5,all_archetypes
0.7980111111111116,0.03666666666666667,0.3107999999999996,19,0,intact,5,all_archetypes
0.8019444444444446,0.013333333333333334,0.29751111111111084,19,1,intact,5,all_archetypes
0.5538,0.006666666666666667,0.2524111111111112,0,0,rest,5,all_archetypes
0.5486666666666664,0.0,0.29340000000000005,0,1,rest,5,all_archetypes
0.4959555555555558,0.013333333333333334,0.29873333333333346,1,0,rest,5,all_archetypes
0.5096999999999998,0.0033333333333333335,0.27480000000000016,1,1,rest,5,all_archetypes
0.5166555555555559,0.006666666666666667,0.30788888888888893,2,0,rest,5,all_archetypes
0.5146777777777781,0.0033333333333333335,0.3221777777777776,2,1,rest,5,all_archetypes
0.5223999999999999,0.006666666666666667,0.33791111111111105,3,0,rest,5,all_archetypes
0.5236777777777777,0.01,0.30812222222222224,3,1,rest,5,all_archetypes
0.5311555555555554,0.006666666666666667,0.3278222222222221,4,0,rest,5,all_archetypes
0.5340888888888888,0.0,0.3027222222222223,4,1,rest,5,all_archetypes
0.5105666666666672,0.0033333333333333335,0.30364444444444466,5,0,rest,5,all_archetypes
0.5220333333333336,0.0,0.30654444444444434,5,1,rest,5,all_archetypes
0.5724555555555556,0.0033333333333333335,0.30586666666666656,6,0,rest,5,all_archetypes
0.5714111111111116,0.01,0.3321666666666666,6,1,rest,5,all_archetypes
0.4920555555555561,0.006666666666666667,0.3284222222222222,7,0,rest,5,all_archetypes
0.49076666666666713,0.0033333333333333335,0.3256444444444445,7,1,rest,5,all_archetypes
0.547711111111111,0.0033333333333333335,0.3106333333333336,8,0,rest,5,all_archetypes
0.5496777777777782,0.006666666666666667,0.3069,8,1,rest,5,all_archetypes
0.5186999999999997,0.01,0.2620222222222222,9,0,rest,5,all_archetypes
0.518822222222222,0.0,0.3143777777777777,9,1,rest,5,all_archetypes
0.5381222222222223,0.0033333333333333335,0.33486666666666676,10,0,rest,5,all_archetypes
0.5363777777777776,0.0,0.3052555555555554,10,1,rest,5,all_archetypes
0.5662888888888893,0.0033333333333333335,0.2995666666666668,11,0,rest,5,all_archetypes
0.5677111111111109,0.0033333333333333335,0.3284888888888888,11,1,rest,5,all_archetypes
0.5214333333333333,0.0033333333333333335,0.2854555555555553,12,0,rest,5,all_archetypes
0.5179444444444445,0.0033333333333333335,0.3021666666666669,12,1,rest,5,all_archetypes
0.5454222222222221,0.01,0.27371111111111096,13,0,rest,5,all_archetypes
0.5422666666666676,0.006666666666666667,0.29660000000000014,13,1,rest,5,all_archetypes
0.5664222222222225,0.006666666666666667,0.30336666666666656,14,0,rest,5,all_archetypes
0.5679222222222221,0.0,0.3269777777777778,14,1,rest,5,all_archetypes
0.5344222222222222,0.0033333333333333335,0.2530777777777778,15,0,rest,5,all_archetypes
0.5340555555555553,0.0,0.23599999999999993,15,1,rest,5,all_archetypes
0.5267444444444448,0.0033333333333333335,0.30467777777777777,16,0,rest,5,all_archetypes
0.5216444444444445,0.006666666666666667,0.3064666666666666,16,1,rest,5,all_archetypes
0.5626000000000002,0.006666666666666667,0.3097222222222222,17,0,rest,5,all_archetypes
0.5581000000000003,0.01,0.2794888888888888,17,1,rest,5,all_archetypes
0.480666666666667,0.0033333333333333335,0.29548888888888875,18,0,rest,5,all_archetypes
0.4820444444444444,0.006666666666666667,0.2934777777777778,18,1,rest,5,all_archetypes
0.521588888888889,0.006666666666666667,0.35379999999999984,19,0,rest,5,all_archetypes
0.5252222222222223,0.006666666666666667,0.2916333333333336,19,1,rest,5,all_archetypes
0.6856000000000002,0.02666666666666667,0.33418888888888876,0,0,word,5,all_archetypes
0.6884555555555555,0.023333333333333334,0.3780555555555554,0,1,word,5,all_archetypes
0.6531111111111114,0.02,0.2960555555555555,1,0,word,5,all_archetypes
0.6503777777777782,0.016666666666666666,0.34071111111111096,1,1,word,5,all_archetypes
0.7024777777777778,0.016666666666666666,0.3367555555555557,2,0,word,5,all_archetypes
0.6973555555555557,0.02,0.3324,2,1,word,5,all_archetypes
