condition,K,top_m,selected_archetypes,selected_archetypes_str
intact,5,1,[1],[1]
intact,5,2,"[1, 2]","[1, 2]"
intact,5,3,"[1, 2, 0]","[1, 2, 0]"
intact,5,4,"[1, 2, 0, 3]","[1, 2, 0, 3]"
intact,5,5,"[1, 2, 0, 3, 4]","[1, 2, 0, 3, 4]"
word,5,1,[1],[1]
word,5,2,"[1, 2]","[1, 2]"
word,5,3,"[1, 2, 0]","[1, 2, 0]"
word,5,4,"[1, 2, 0, 3]","[1, 2, 0, 3]"
word,5,5,"[1, 2, 0, 3, 4]","[1, 2, 0, 3, 4]"
rest,5,1,[1],[1]
rest,5,2,"[1, 2]","[1, 2]"
rest,5,3,"[1, 2, 0]","[1, 2, 0]"
rest,5,4,"[1, 2, 0, 3]","[1, 2, 0, 3]"
rest,5,5,"[1, 2, 0, 3, 4]","[1, 2, 0, 3, 4]"
intact,10,1,[2],[2]
intact,10,2,"[2, 4]","[2, 4]"
intact,10,3,"[2, 4, 0]","[2, 4, 0]"
intact,10,4,"[2, 4, 0, 5]","[2, 4, 0, 5]"
intact,10,5,"[2, 4, 0, 5, 3]","[2, 4, 0, 5, 3]"
word,10,1,[2],[2]
word,10,2,"[2, 4]","[2, 4]"
word,10,3,"[2, 4, 0]","[2, 4, 0]"
word,10,4,"[2, 4, 0, 5]","[2, 4, 0, 5]"
word,10,5,"[2, 4, 0, 5, 3]","[2, 4, 0, 5, 3]"
rest,10,1,[2],[2]
rest,10,2,"[2, 4]","[2, 4]"
rest,10,3,"[2, 4, 0]","[2, 4, 0]"
rest,10,4,"[2, 4, 0, 5]","[2, 4, 0, 5]"
rest,10,5,"[2, 4, 0, 5, 3]","[2, 4, 0, 5, 3]"
