analysis_type,fit_scope,condition,K,top_m,selected_archetypes,mean,err,std,count,rank_mean,error_mean
temporal,across,intact,5,1,[1],0.0079166666666666,0.0005808861979155,0.0036738468935369,40,0.6855197222222223,0.3105402777777777
temporal,across,intact,5,2,"[1, 0]",0.0145,0.0008143128471941,0.0051501666501402,40,0.7398486111111113,0.3623586111111109
temporal,across,intact,5,3,"[1, 0, 3]",0.0214166666666666,0.0009389293472292,0.0059383105984389,40,0.7577213888888892,0.3591688888888887
temporal,across,intact,5,5,"[1, 0, 3, 2, 4]",0.0298333333333333,0.0013287849772139,0.0084039740972221,40,0.7979947222222223,0.3217102777777775
temporal,across,intact,5,10,"[1, 0, 3, 2, 4]",0.0298333333333333,0.0013287849772139,0.0084039740972221,40,0.7979947222222223,0.3217102777777775
temporal,across,intact,10,1,[0],0.0084999999999999,0.0005056659032384,0.0031981119786399,40,0.6334372222222223,0.3526558333333333
temporal,across,intact,10,2,"[0, 2]",0.0161666666666666,0.0007410433854676,0.0046867698861595,40,0.7130297222222224,0.2980061111111111
temporal,across,intact,10,3,"[0, 2, 3]",0.0219166666666666,0.0008761439408728,0.0055412208226281,40,0.739828888888889,0.2939086111111109
temporal,across,intact,10,5,"[0, 2, 3, 1, 7]",0.0359166666666666,0.0012023688631991,0.0076044483907536,40,0.780739166666667,0.3176469444444442
temporal,across,intact,10,10,"[0, 2, 3, 1, 7, 6, 4, 5, 8, 9]",0.0575833333333333,0.0016708814228857,0.0105675819927639,40,0.8312622222222228,0.2557927777777776
temporal,across,intact,25,1,[11],0.01125,0.000858072941998,0.0054269297905507,40,0.6002030555555556,0.3207369444444444
temporal,across,intact,25,2,"[11, 0]",0.0158333333333333,0.0009454494401471,0.0059795472867923,40,0.6609713888888891,0.2995905555555555
temporal,across,intact,25,3,"[11, 0, 2]",0.0188333333333333,0.0008652025766116,0.0054720215590785,40,0.677327777777778,0.333298611111111
temporal,across,intact,25,5,"[11, 0, 2, 7, 8]",0.0325,0.0010180003862105,0.0064383997587126,40,0.7337211111111114,0.3203230555555554
