analysis_type,fit_scope,condition,K,archetype,mean_accuracy,sem_accuracy,std_accuracy,count,rank_mean,error_mean
temporal,within,intact,5,0,0.007833333333333335,0.00042281784349164917,0.0026741348415884247,40,0.6602725000000002,0.38206333333333325
temporal,within,intact,5,1,0.009166666666666667,0.0006056476837313231,0.0038304522803925744,40,0.674926388888889,0.32462777777777774
temporal,within,intact,5,2,0.00925,0.0004991088925371763,0.003156641801723386,40,0.6931966666666668,0.3092977777777778
temporal,within,intact,5,3,0.0095,0.0008230130177284119,0.005205191359980639,40,0.6697427777777778,0.33467083333333336
temporal,within,intact,5,4,0.008166666666666666,0.0006079951641733012,0.0038452990503112737,40,0.651671388888889,0.33226166666666657
temporal,within,intact,10,0,0.007083333333333333,0.0003809476113865037,0.002409324242364092,40,0.6627983333333334,0.37691083333333325
temporal,within,intact,10,1,0.009333333333333334,0.0005871365639519861,0.0037133776793067774,40,0.6151436111111112,0.35143833333333335
temporal,within,intact,10,2,0.008833333333333335,0.0005277215444626347,0.0033376041016874875,40,0.647458888888889,0.31187527777777774
temporal,within,intact,10,3,0.008583333333333335,0.0006072625513464552,0.0038406655999594975,40,0.6795424999999999,0.32681499999999997
temporal,within,intact,10,4,0.008833333333333335,0.0007600232415099734,0.004806809035671492,40,0.6449005555555557,0.3086713888888889
temporal,within,intact,10,5,0.009083333333333334,0.0004919219241781967,0.0031111874227515096,40,0.6374922222222221,0.32207527777777767
temporal,within,intact,10,6,0.010333333333333333,0.0007337993857053428,0.004640954808922571,40,0.6827502777777779,0.26669611111111113
temporal,within,intact,10,7,0.0095,0.0008055187141590188,0.005094547669265247,40,0.5969980555555556,0.3283513888888888
temporal,within,intact,10,8,0.008499999999999999,0.000715617399249251,0.0045259618297474056,40,0.6332358333333333,0.31694194444444435
temporal,within,intact,10,9,0.005083333333333334,0.0005061938301996517,0.003201450881910849,40,0.564163888888889,0.3183086111111111
temporal,within,intact,25,0,0.008416666666666666,0.00046205751914361377,0.0029223083410013463,40,0.6343727777777779,0.35662194444444434
temporal,within,intact,25,1,0.008749999999999999,0.0004875588940976005,0.0030835931976424856,40,0.6519522222222223,0.34541861111111105
temporal,within,intact,25,2,0.009583333333333334,0.0006875728399641817,0.00434859246311452,40,0.6601208333333336,0.3035513888888889
temporal,within,intact,25,3,0.008666666666666666,0.0006405126152203485,0.004050957468334666,40,0.6126666666666667,0.34673027777777776
