condition,K,top_m,selected_archetypes,selected_archetypes_str
intact,5,1,[3],[3]
intact,5,2,"[3, 2]","[3, 2]"
intact,5,3,"[3, 2, 1]","[3, 2, 1]"
intact,5,4,"[3, 2, 1, 4]","[3, 2, 1, 4]"
intact,5,5,"[3, 2, 1, 4, 0]","[3, 2, 1, 4, 0]"
intact,10,1,[6],[6]
intact,10,2,"[6, 7]","[6, 7]"
intact,10,3,"[6, 7, 1]","[6, 7, 1]"
intact,10,4,"[6, 7, 1, 5]","[6, 7, 1, 5]"
intact,10,5,"[6, 7, 1, 5, 2]","[6, 7, 1, 5, 2]"
word,5,1,[0],[0]
word,5,2,"[0, 1]","[0, 1]"
word,5,3,"[0, 1, 2]","[0, 1, 2]"
word,5,4,"[0, 1, 2, 4]","[0, 1, 2, 4]"
word,5,5,"[0, 1, 2, 4, 3]","[0, 1, 2, 4, 3]"
word,10,1,[2],[2]
word,10,2,"[2, 0]","[2, 0]"
word,10,3,"[2, 0, 4]","[2, 0, 4]"
word,10,4,"[2, 0, 4, 1]","[2, 0, 4, 1]"
word,10,5,"[2, 0, 4, 1, 3]","[2, 0, 4, 1, 3]"
rest,5,1,[0],[0]
rest,5,2,"[0, 1]","[0, 1]"
rest,5,3,"[0, 1, 2]","[0, 1, 2]"
rest,5,4,"[0, 1, 2, 4]","[0, 1, 2, 4]"
rest,5,5,"[0, 1, 2, 4, 3]","[0, 1, 2, 4, 3]"
rest,10,1,[0],[0]
rest,10,2,"[0, 6]","[0, 6]"
rest,10,3,"[0, 6, 2]","[0, 6, 2]"
rest,10,4,"[0, 6, 2, 8]","[0, 6, 2, 8]"
rest,10,5,"[0, 6, 2, 8, 3]","[0, 6, 2, 8, 3]"
