analysis_type,fit_scope,condition,K,top_m,selected_archetypes,mean,err,std,count,rank_mean,error_mean
temporal,within,intact,5,1,[3],0.0095,0.0008230130177284119,0.005205191359980639,40,0.6697427777777778,0.33467083333333336
temporal,within,intact,5,2,"[3, 2]",0.0195,0.0011848401385191817,0.007493587001820033,40,0.7582716666666668,0.300298611111111
temporal,within,intact,5,3,"[3, 2, 1]",0.022250000000000002,0.001008422507888412,0.006377823937412993,40,0.7728825000000002,0.29076499999999994
temporal,within,intact,5,5,"[3, 2, 1, 4, 0]",0.027166666666666662,0.0012829697564679364,0.008114213199100443,40,0.7928880555555559,0.3355299999999998
temporal,within,intact,5,10,"[3, 2, 1, 4, 0]",0.027166666666666662,0.0012829697564679364,0.008114213199100443,40,0.7928880555555559,0.3355299999999998
temporal,within,intact,10,1,[6],0.010333333333333333,0.0007337993857053428,0.004640954808922571,40,0.6827502777777779,0.26669611111111113
temporal,within,intact,10,2,"[6, 7]",0.0155,0.0008230130177284119,0.005205191359980639,40,0.7088397222222224,0.2674063888888888
temporal,within,intact,10,3,"[6, 7, 1]",0.022,0.0011497553313367683,0.007271691197891511,40,0.7318322222222223,0.2576883333333333
temporal,within,intact,10,5,"[6, 7, 1, 5, 2]",0.03191666666666666,0.001053332116195337,0.006661857239564795,40,0.7867977777777779,0.2391566666666666
temporal,within,intact,10,10,"[6, 7, 1, 5, 2, 4, 3, 8, 0, 9]",0.05575000000000001,0.0016708814228857563,0.010567581992763964,40,0.8447530555555559,0.24186749999999982
temporal,within,intact,25,1,[7],0.011333333333333334,0.000771648621745413,0.004880334396090479,40,0.6534825,0.3111127777777777
temporal,within,intact,25,2,"[7, 8]",0.017083333333333332,0.0008704347736371148,0.005505112878612737,40,0.7030172222222225,0.3039730555555555
temporal,within,intact,25,3,"[7, 8, 12]",0.02475,0.0009614173712926981,0.006080537350673415,40,0.7292261111111114,0.29578583333333325
temporal,within,intact,25,5,"[7, 8, 12, 6, 2]",0.035166666666666666,0.001360565912089378,0.008604974377973711,40,0.7664086111111115,0.27689499999999984
temporal,within,intact,25,10,"[7, 8, 12, 6, 2, 16, 19, 9, 10, 1]",0.052083333333333336,0.0014844277149883857,0.009388345202485134,40,0.8033947222222227,0.27664861111111083
temporal,within,intact,50,1,[23],0.011083333333333334,0.0007678317049103448,0.004856194094413966,40,0.6299569444444445,0.3406766666666666
temporal,within,intact,50,2,"[23, 16]",0.01608333333333333,0.0009539802658222798,0.006033500965702575,40,0.6658194444444445,0.3037166666666666
temporal,within,intact,50,3,"[23, 16, 15]",0.019916666666666666,0.0009205434725749157,0.005822028117074959,40,0.7096580555555556,0.32180083333333326
temporal,within,intact,50,5,"[23, 16, 15, 19, 21]",0.026749999999999996,0.0008810080667480938,0.005571984255811259,40,0.7454063888888892,0.296541111111111
temporal,within,intact,50,10,"[23, 16, 15, 19, 21, 32, 37, 45, 26, 7]",0.04616666666666667,0.0013479434583659534,0.008525142971121521,40,0.8007969444444447,0.2637555555555554
temporal,within,intact,75,1,[29],0.01025,0.0006792351572617534,0.0042958603276195976,40,0.6128547222222223,0.3186119444444443
temporal,within,intact,75,2,"[29, 37]",0.013000000000000001,0.0007434423667686371,0.004701942376110336,40,0.6301772222222224,0.30587611111111107
temporal,within,intact,75,3,"[29, 37, 23]",0.017583333333333333,0.000868796692159732,0.005494752741689811,40,0.6637508333333335,0.2960641666666667
temporal,within,intact,75,5,"[29, 37, 23, 25, 48]",0.027749999999999997,0.000927480888062281,0.005865904185104962,40,0.6943761111111113,0.28983222222222216
temporal,within,intact,75,10,"[29, 37, 23, 25, 48, 21, 13, 47, 16, 19]",0.05241666666666667,0.0014665671100631866,0.009275384818581032,40,0.7746477777777783,0.24232861111111098
temporal,within,intact,100,1,[25],0.01075,0.0007960685091278711,0.0050347793247572286,40,0.6791936111111115,0.3150752777777778
temporal,within,intact,100,2,"[25, 35]",0.012083333333333333,0.0006611685674953662,0.004181597181192252,40,0.6189638888888889,0.29047388888888886
temporal,within,intact,100,3,"[25, 35, 14]",0.01875,0.0006823737268783896,0.004315710384786742,40,0.6437419444444444,0.2752008333333333
temporal,within,intact,100,5,"[25, 35, 14, 51, 31]",0.03033333333333333,0.0010925805204799295,0.006910085943697643,40,0.6851147222222224,0.2633438888888888
temporal,within,intact,100,10,"[25, 35, 14, 51, 31, 17, 49, 82, 60, 70]",0.04416666666666667,0.0013751456799283635,0.008697184926229042,40,0.7502155555555559,0.2543080555555555
temporal,within,rest,5,1,[0],0.008333333333333335,0.0007734924681537617,0.004891995904702285,40,0.641318888888889,0.2790283333333333
temporal,within,rest,5,2,"[0, 1]",0.011416666666666667,0.0008345077194988274,0.005277890237218405,40,0.6603019444444445,0.2928769444444444
temporal,within,rest,5,3,"[0, 1, 2]",0.009916666666666667,0.0008810080667480938,0.005571984255811259,40,0.629728888888889,0.29540777777777777
temporal,within,rest,5,5,"[0, 1, 2, 4, 3]",0.00625,0.0006223233281713973,0.00393591831615609,40,0.6205319444444445,0.31695555555555555
temporal,within,rest,5,10,"[0, 1, 2, 4, 3]",0.00625,0.0006223233281713973,0.00393591831615609,40,0.6205319444444445,0.31695555555555555
temporal,within,rest,10,1,[0],0.007333333333333333,0.0009710921393049903,0.006141725956178581,40,0.6058205555555556,0.32392611111111114
temporal,within,rest,10,2,"[0, 6]",0.004333333333333333,0.000622466374565235,0.003936823020987291,40,0.564961388888889,0.32983555555555555
