K,archetype,best_n_clusters,purity,balance,cluster_score,ari,nmi,cluster_sizes,decode_accuracy_overall,decode_intact,decode_intact_sem,decode_rest,decode_rest_sem,decode_word,decode_word_sem,cluster_rank,decode_rank,joint_rank_score
5,0,4,0.6851851851851852,0.9444444444444444,0.15190438590549094,0.28874919558631945,0.2897868017259071,"[30, 30, 24, 24]",0.005611111111111111,0.007583333333333333,0.0005596536881967728,0.0022500000000000003,0.0004366979828269512,0.007000000000000001,0.000629294363562392,3.0,4.0,-7.0
5,1,2,0.6111111111111112,1.0,0.16137845091894631,0.31658682867936283,0.3279164701672274,"[54, 54]",0.007111111111111111,0.007000000000000001,0.00044337478117411754,0.0069166666666666664,0.0006579288490181673,0.007416666666666667,0.0005532537786493135,1.0,2.0,-3.0
5,2,2,0.6203703703703703,0.9074074074074074,0.15319354424853943,0.3782261788701319,0.38835222583409346,"[44, 64]",0.007138888888888888,0.008583333333333333,0.0005454747794744822,0.006583333333333334,0.0008224719532969584,0.00625,0.0006448072217929582,2.0,1.0,-3.0
5,3,8,0.5740740740740741,0.9166666666666666,0.06131549626729834,0.05097493280099463,0.12654689658915474,"[13, 8, 18, 13, 14, 15, 11, 16]",0.006277777777777777,0.006750000000000001,0.00045428476077747075,0.004916666666666667,0.000596613185780614,0.007166666666666667,0.0005791977947731548,5.0,3.0,-8.0
5,4,4,0.5462962962962963,0.8981481481481481,0.07321545262667915,0.1006374926585272,0.136356557920378,"[29, 36, 19, 24]",0.005555555555555554,0.007250000000000001,0.0005709927876363794,0.004,0.0004653216269680751,0.005416666666666667,0.0006049122278635169,4.0,5.0,-9.0
10,0,4,0.4351851851851852,0.8703703703703703,0.0358671120712365,0.011076908905282066,0.039073062513209106,"[25, 27, 41, 15]",0.0060555555555555545,0.007666666666666667,0.0008623164985025763,0.004916666666666667,0.0006643924886069821,0.005583333333333334,0.0006686668711812965,10.0,5.0,-15.0
10,1,3,0.7407407407407407,0.9444444444444444,0.2216228234454693,0.38184663536776214,0.355929351540184,"[36, 42, 30]",0.005805555555555555,0.008083333333333335,0.0005954181656808868,0.002916666666666667,0.0003809476113865037,0.006416666666666666,0.0004200715581423169,1.0,7.0,-8.0
10,2,2,0.5833333333333334,0.9907407407407407,0.13905781665984804,0.26007184556124885,0.26178482325026525,"[53, 55]",0.006750000000000001,0.007916666666666667,0.0005019548679499876,0.004,0.0005748776656683841,0.008333333333333335,0.0005967623950328606,4.0,2.0,-6.0
10,3,2,0.6296296296296297,0.9259259259259259,0.16342433195639347,0.43069708720353506,0.4668476417911602,"[62, 46]",0.006694444444444444,0.00875,0.000568492533533872,0.00475,0.0005322571942188483,0.006583333333333334,0.0007009100718172971,2.0,4.0,-6.0
10,4,2,0.39814814814814814,0.9444444444444444,0.04214980004603257,0.005571066645985213,0.015369180205470127,"[60, 48]",0.007666666666666666,0.0085,0.0005462902602399647,0.005833333333333334,0.0005168113941217019,0.008666666666666666,0.00047441672090180913,9.0,1.0,-10.0
10,5,2,0.5925925925925926,0.9722222222222222,0.14306032299573718,0.2760449592649867,0.272212066408912,"[57, 51]",0.006694444444444445,0.0075,0.0005304140187994953,0.0045000000000000005,0.000566767210788584,0.008083333333333335,0.0006072625513464554,3.0,3.0,-6.0
10,6,6,0.5370370370370371,0.9166666666666666,0.0579626894175572,0.054006264524603415,0.09049152760101585,"[15, 21, 15, 24, 15, 18]",0.005944444444444444,0.005916666666666666,0.0004991088925371763,0.005583333333333334,0.0004976798018658031,0.006333333333333334,0.0005699002761767401,7.0,6.0,-13.0
10,7,3,0.5925925925925926,0.8796296296296297,0.10568366796458457,0.15313211660128265,0.14441337865325443,"[45, 40, 23]",0.0055,0.006833333333333333,0.0005462902602399647,0.004,0.0005623515948579823,0.005666666666666667,0.0005748776656683841,5.0,8.0,-13.0
10,8,5,0.5,0.9111111111111111,0.05093265948749521,0.027577289195574298,0.05381182009778104,"[23, 23, 28, 12, 22]",0.004750000000000001,0.005083333333333334,0.0007059726877843333,0.003,0.00040998922923799857,0.006166666666666667,0.0005277215444626347,8.0,10.0,-18.0
10,9,2,0.4537037037037037,0.9907407407407407,0.06542775187150601,0.04618365075398899,0.04977613099823106,"[55, 53]",0.004805555555555555,0.005416666666666667,0.0006165742596507072,0.004666666666666667,0.0006515377383555189,0.004333333333333333,0.0005495400822454191,6.0,9.0,-15.0
