K,condition,reconstruction,top_m,mean,std,count,err
10,intact,top_m_global,5,0.03746666666666667,0.009176165876989157,100,0.009176165876989157
10,word,top_m_global,5,0.022866666666666667,0.007431241118190009,100,0.007431241118190009
10,rest,top_m_global,3,0.005433333333333333,0.004705824172743935,100,0.004705824172743935
25,intact,top_m_global,5,0.038000000000000006,0.009522847474256708,100,0.009522847474256708
25,word,top_m_global,5,0.0302,0.008949540552133171,100,0.008949540552133171
25,rest,top_m_global,4,0.0071,0.004585024175412095,100,0.004585024175412095
50,intact,top_m_global,5,0.06626666666666667,0.012044436989822134,100,0.012044436989822134
50,word,top_m_global,5,0.03353333333333333,0.008886615870994331,100,0.008886615870994331
50,rest,top_m_global,4,0.007066666666666666,0.003857157702808146,100,0.003857157702808146
75,intact,top_m_global,5,0.0585,0.01279533269284307,100,0.01279533269284307
75,word,top_m_global,4,0.03196666666666667,0.009163620552958765,100,0.009163620552958765
75,rest,top_m_global,4,0.006733333333333333,0.004341742682080109,100,0.004341742682080109
100,intact,top_m_global,5,0.03133333333333333,0.00713820595719384,100,0.00713820595719384
100,word,top_m_global,5,0.0177,0.007022410814498605,100,0.007022410814498605
100,rest,top_m_global,4,0.005533333333333334,0.003615032835507271,100,0.003615032835507271
