K,condition,reconstruction,mean,std,count,err
10,intact,all_archetypes,0.051533333333333334,0.012303859586255609,100,0.012303859586255609
10,rest,all_archetypes,0.0063,0.0040450604481491615,100,0.0040450604481491615
10,word,all_archetypes,0.031566666666666666,0.009094281080581083,100,0.009094281080581083
25,intact,all_archetypes,0.07196666666666666,0.015065103759705222,100,0.015065103759705222
25,rest,all_archetypes,0.008866666666666667,0.004598833600229934,100,0.004598833600229934
25,word,all_archetypes,0.0364,0.008269859272718758,100,0.008269859272718758
50,intact,all_archetypes,0.09873333333333333,0.01775743785929151,100,0.01775743785929151
50,rest,all_archetypes,0.008666666666666666,0.0037605071654517744,100,0.0037605071654517744
50,word,all_archetypes,0.04496666666666667,0.00968058906853321,100,0.00968058906853321
75,intact,all_archetypes,0.10973333333333332,0.01780099494060433,100,0.01780099494060433
75,rest,all_archetypes,0.009566666666666666,0.00428121991907805,100,0.00428121991907805
75,word,all_archetypes,0.046799999999999994,0.010259484128860864,100,0.010259484128860864
100,intact,all_archetypes,0.12483333333333332,0.02080519985940232,100,0.02080519985940232
100,rest,all_archetypes,0.010766666666666667,0.0039880573681014475,100,0.0039880573681014475
100,word,all_archetypes,0.050133333333333335,0.010389928646720854,100,0.010389928646720854
