K,condition,reconstruction,top_m,mean,std,count,err
10,intact,top_m_global,1,0.008733333333333334,0.0036323771639011444,100,0.0036323771639011444
10,intact,top_m_global,2,0.018266666666666667,0.005734100645545345,100,0.005734100645545345
10,intact,top_m_global,3,0.032433333333333335,0.00894997946564492,100,0.00894997946564492
10,intact,top_m_global,4,0.030233333333333334,0.007716279233389099,100,0.007716279233389099
10,intact,top_m_global,5,0.03746666666666667,0.009176165876989157,100,0.009176165876989157
10,rest,top_m_global,1,0.004833333333333334,0.00339587787353823,100,0.00339587787353823
10,rest,top_m_global,2,0.005366666666666667,0.004441792137885795,100,0.004441792137885795
10,rest,top_m_global,3,0.005433333333333333,0.004705824172743935,100,0.004705824172743935
10,rest,top_m_global,4,0.0047,0.00402280256988506,100,0.00402280256988506
10,rest,top_m_global,5,0.0054,0.004205175582957469,100,0.004205175582957469
10,word,top_m_global,1,0.006666666666666667,0.004237611507758188,100,0.004237611507758188
10,word,top_m_global,2,0.011866666666666668,0.004697827661403876,100,0.004697827661403876
10,word,top_m_global,3,0.0178,0.007281728436543692,100,0.007281728436543692
10,word,top_m_global,4,0.0169,0.006016345113916077,100,0.006016345113916077
10,word,top_m_global,5,0.022866666666666667,0.007431241118190009,100,0.007431241118190009
25,intact,top_m_global,1,0.0087,0.0036971490821412663,100,0.0036971490821412663
25,intact,top_m_global,2,0.02283333333333333,0.007268692764215662,100,0.007268692764215662
25,intact,top_m_global,3,0.0307,0.009017939472142864,100,0.009017939472142864
25,intact,top_m_global,4,0.03623333333333333,0.0088718903121284,100,0.0088718903121284
25,intact,top_m_global,5,0.038000000000000006,0.009522847474256708,100,0.009522847474256708
25,rest,top_m_global,1,0.0033666666666666667,0.0031956409704660526,100,0.0031956409704660526
25,rest,top_m_global,2,0.005733333333333333,0.004644004618872836,100,0.004644004618872836
25,rest,top_m_global,3,0.005900000000000001,0.00407160929420652,100,0.00407160929420652
25,rest,top_m_global,4,0.0071,0.004585024175412095,100,0.004585024175412095
25,rest,top_m_global,5,0.006900000000000001,0.004814283835005525,100,0.004814283835005525
25,word,top_m_global,1,0.007633333333333334,0.003007472922276559,100,0.003007472922276559
25,word,top_m_global,2,0.017933333333333336,0.006155121597947671,100,0.006155121597947671
25,word,top_m_global,3,0.024966666666666665,0.00836183677511392,100,0.00836183677511392
25,word,top_m_global,4,0.027999999999999997,0.00883823953706156,100,0.00883823953706156
25,word,top_m_global,5,0.0302,0.008949540552133171,100,0.008949540552133171
50,intact,top_m_global,1,0.007433333333333334,0.0027566876136636523,100,0.0027566876136636523
50,intact,top_m_global,2,0.018866666666666667,0.0064653093094523455,100,0.0064653093094523455
50,intact,top_m_global,3,0.030300000000000004,0.008801272737265624,100,0.008801272737265624
50,intact,top_m_global,4,0.0547,0.01067944310582275,100,0.01067944310582275
50,intact,top_m_global,5,0.06626666666666667,0.012044436989822134,100,0.012044436989822134
50,rest,top_m_global,1,0.0031333333333333335,0.002951915431343641,100,0.002951915431343641
50,rest,top_m_global,2,0.003966666666666667,0.004039507476283957,100,0.004039507476283957
50,rest,top_m_global,3,0.007000000000000001,0.0039780542762657,100,0.0039780542762657
50,rest,top_m_global,4,0.007066666666666666,0.003857157702808146,100,0.003857157702808146
50,rest,top_m_global,5,0.007066666666666666,0.0043494907270548635,100,0.0043494907270548635
50,word,top_m_global,1,0.006766666666666667,0.0030870279984274844,100,0.0030870279984274844
50,word,top_m_global,2,0.010666666666666666,0.005665577237325317,100,0.005665577237325317
50,word,top_m_global,3,0.016700000000000003,0.0062942262392304636,100,0.0062942262392304636
50,word,top_m_global,4,0.02876666666666667,0.008021505885922544,100,0.008021505885922544
50,word,top_m_global,5,0.03353333333333333,0.008886615870994331,100,0.008886615870994331
75,intact,top_m_global,1,0.009066666666666667,0.005104519245020376,100,0.005104519245020376
75,intact,top_m_global,2,0.017266666666666666,0.007001362702056389,100,0.007001362702056389
75,intact,top_m_global,3,0.028333333333333335,0.008375315127160098,100,0.008375315127160098
75,intact,top_m_global,4,0.032466666666666665,0.00869252810713766,100,0.00869252810713766
75,intact,top_m_global,5,0.0585,0.01279533269284307,100,0.01279533269284307
75,rest,top_m_global,1,0.0041333333333333335,0.003764086897024319,100,0.003764086897024319
75,rest,top_m_global,2,0.004333333333333333,0.0034653973330118068,100,0.0034653973330118068
75,rest,top_m_global,3,0.005333333333333333,0.00413031278793149,100,0.00413031278793149
75,rest,top_m_global,4,0.006733333333333333,0.004341742682080109,100,0.004341742682080109
